url	local_groups	topic_groups	local_count	topic_count
vk.com/id93856149	За новый социализм	Агитплакат отвага	1	1
vk.com/id2043554	Ленинский комсомол лксм	Альтернативы, Антитезис	1	2
vk.com/id81128029	За новый социализм	Александр зиновьев	1	1
vk.com/id334088256	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id711611233	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id182896930	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id573518984	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id644742854	За новый социализм	Агитплакат отвага	1	1
vk.com/id397355667	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Альтернативы	1	2
vk.com/id2124846	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id169877307	Ленинский комсомол лксм	Александр зиновьев	1	1
vk.com/id15141136	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id184438948	Ленинский комсомол лксм, За новый социализм	Агитплакат отвага	2	1
vk.com/id522098980	Свободный белгород	Апокрифы диалектики, Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id211504702	Ленинский комсомол лксм	Антитезис, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id471619851	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id557435804	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id205754806	За новый социализм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id207170502	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id356176478	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id21666205	Открытый белгородский политический клуб	Анархо-Коммунистическая партия россии	1	1
vk.com/id1113378	Свободный белгород	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id35686317	Ленинский комсомол лксм	Альтернативы, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id694732457	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id278035979	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id481942477	За новый социализм	Анархо-Коммунистическая партия россии, Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id59390723	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Альтернативы	1	2
vk.com/id97017909	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id169344030	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Альтернативы	1	2
vk.com/id221276260	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id278468994	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id732913119	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id273486249	Открытый белгородский политический клуб	Анархо-Коммунистическая партия россии	1	1
vk.com/id374051936	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id186109021	За новый социализм, Открытый белгородский политический клуб	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	2	2
vk.com/id148403959	Ленинский комсомол лксм	Антонио грамши, Альтернативы	1	2
vk.com/id801746730	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id548682798	Ленинский комсомол лксм, За новый социализм	Апокрифы диалектики, Анархо-Коммунистическая партия россии, Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	2	4
vk.com/id50893062	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id606498731	За новый социализм	Агитплакат отвага	1	1
vk.com/id716442990	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id485461891	За новый социализм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id51485142	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id358990328	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id142385878	Ленинский комсомол лксм	Апокрифы диалектики, Анархо-Коммунистическая партия россии, Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id416348629	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id250668233	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id286413702	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id355260705	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id394304954	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id322186642	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id142321745	Ленинский комсомол лксм, Открытый белгородский политический клуб	Александр зиновьев	2	1
vk.com/id187877315	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id352022801	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id737478991	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id247100440	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id4115026	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id547086642	За новый социализм	Апокрифы диалектики, Агитплакат отвага	1	2
vk.com/id3799179	Ленинский комсомол лксм	Альтернативы, Антитезис, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id7480867	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id715502876	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id198426738	За новый социализм	Агитплакат отвага	1	1
vk.com/id422724579	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id163165186	Открытый белгородский политический клуб	Анархо-Коммунистическая партия россии	1	1
vk.com/id563842724	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии, Агитплакат отвага	1	2
vk.com/id29567738	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id71645	Ленинский комсомол лксм	Альтернативы	1	1
