url	gids	local_count	elx_count
vk.com/id83603640	TechnoTopus_электроника_техника_Arduino	7	1
vk.com/id50878707	Всё_о_3D_принтерах_и_3D_печати, Искусство_схемотехники_Хоровиц_Хилл, Arduino_forum, Arduino_ru, Arduino_Радиолюбитель	7	5
vk.com/id37064718	Garage_Laboratory, Клуб_лампового_звука, Робототехника_микроконтроллеры_AVR_Arduino, Открытый_клуб_технического_творчества_Нижневартовск, COOLRF, Клуб_лампового_звука, Типичный_радиолюбитель, Raspberry_Pi_ru_community	17	8
vk.com/id160131988	Инженерный_Журнал	5	1
vk.com/id2950412	Всё_о_3D_принтерах_и_3D_печати, Ansys_4_all	6	2
vk.com/id26743283	Эльбрус	7	1
vk.com/id25868177	Embedded_Systems	6	1
vk.com/id2541083	Embedded_Group_Встраиваемые_системы	33	1
vk.com/id82218441	Электроник, Arduino_Радиолюбитель	10	2
vk.com/id29586733	STM32_F4_F429_Discovery	15	1
vk.com/id48827541	Всё_о_3D_принтерах_и_3D_печати	5	1
vk.com/id54864998	Сделай_сам, Радиосхемы	5	2
vk.com/id61111971	Станки_ЧПУ_своими_руками, Всё_о_3D_принтерах_и_3D_печати, AliExpress_для_Поделкина, Arduino_проекты_и_ЧПУ	8	4
vk.com/id2269995	AutoCAD	8	1
vk.com/id185625774	Arduino_Радиолюбитель	6	1
vk.com/id93554041	AutoCAD	7	1
vk.com/id158268686	Радиолоцман, Хакспейс_MakeltLab_Екатеринбург, Make_Robots, Радиолюбитель_1, Трансивер_ТСВ, Tuberadio	29	6
vk.com/id15960697	Радиолюбитель_1	5	1
vk.com/id179125341	Компас_3D	5	1
vk.com/id174261333	Всё_о_3D_принтерах_и_3D_печати, Фестиваль_Rukami	8	2
vk.com/id225440193	Роботы, NanoCAD	9	2
vk.com/id24291821	Радиолюбитель_1	7	1
vk.com/id160031629	Амперка, Arduino_Радиолюбитель	5	2
vk.com/id193466661	Роботы, Электроник	13	2
vk.com/id83855019	Роботы	6	1
vk.com/id1992861	Robotoved.ru, Iot.ru, Всё_о_3D_принтерах_и_3D_печати, Arduino_forum, Arduino_ru	6	5
vk.com/id22642443	Лаб37, Аццких_радиотехников	16	2
vk.com/id16574834	T_Flex_PLM	5	1
vk.com/id37210786	NanoCAD	5	1
vk.com/id102889655	Всё_о_3D_принтерах_и_3D_печати	6	1
vk.com/id1171495	Arduino_Радиолюбитель	5	1
vk.com/id292435934	Амперка, Embedded_Systems, Amperkot.ru, Arduino_Lab, AlexGyver_Arduino_и_электроника, Все_об_Ардуино, Arduino_ru, Raspberry_Pi_1	5	8
vk.com/id10515290	Библиотека_по_электронике_и_автоматике	9	1
vk.com/id121881840	Robotique	26	1
vk.com/id211646953	EasyElectronics, Embedded_Systems, Инженерный_Журнал, Altium_PADS_OrCAD_Allegro_xPedition_HyperLynx, Allegro_OrCAD, T_Flex_PLM, Разработка_PCB, Инженеры_электронщики	5	8
vk.com/id63366431	LabRazum	11	1
vk.com/id17402489	Радиолоцман, Робототехника_микроконтроллеры_AVR_Arduino, Сделай_сам, Чип_и_Дип, Радиолюбитель_1, Типичный_радиолюбитель, Практическая_электроника	10	7
vk.com/id139141215	Роботы	5	1
vk.com/id46304707	Aka_Kasyan, Амперка, CAD_CAM_Tutorials_Обработка_ЧПУ, Всё_о_3D_принтерах_и_3D_печати	5	4
vk.com/id10330586	ЦМИТ_Минск	8	1
vk.com/id17665726	Robokub_Робототехника_Краснодар, Занимательная_робототехника, Arduino_project	6	3
vk.com/id155010538	РТ_курсы_в_МФТИ	6	1
vk.com/id23447648	RoboCraft, Радиотехника_AliExpress	6	2
vk.com/id178383030	SOM_и_SOC_Arduino_RaspberryPi_STM32_и_другие, Электроник, Электроника_как_хобби, Arduino_Радиолюбитель, TechnoTopus_электроника_техника_Arduino, Практическая_электроника	7	6
vk.com/id63650652	Кубок_РТК	6	1
