url	gids	local_count	elx_count
vk.com/id189470087	Типичный_сисадмин	14	1
vk.com/id37064718	GNU_Linux, Multi_GNU_Linux_community, GNU_Linux_community, Типичный_сисадмин	17	4
vk.com/id3722405	Alt_Linux, Типичный_сисадмин	23	2
vk.com/id17230325	Alt_Linux	4	1
vk.com/id2541083	GNU, Debian_GNU_Linux, Emacs	27	3
vk.com/id119611153	Linux_Club, Системный_администратор	4	2
vk.com/id61234687	Типичный_сисадмин	5	1
vk.com/id231067361	Linux_Club, Сторонники_дистрибутива_Fedora_Linux, Arch_Linux_2, Russian_Fedora, Losst_Все_о_Linux, Arch_Linux_1, Установка_Linux_Mint_Ubuntu_Debian	4	7
vk.com/id504903649	Типичный_сисадмин	5	1
vk.com/id71200031	Типичный_сисадмин	5	1
vk.com/id1992861	Системный_администратор	4	1
vk.com/id37210786	Типичный_сисадмин	4	1
vk.com/id107530722	Системный_администратор	7	1
vk.com/id30421836	Системный_администратор	69	1
vk.com/id50198890	Linux_Club, Типичный_сисадмин	4	2
vk.com/id134220364	Linux_Club	5	1
vk.com/id87625783	Типичный_сисадмин	5	1
vk.com/id101065880	Linux_Club, GNU_Linux, Ubuntu_официальное_сообщество, Losst_Все_о_Linux, Ubuntu_1, Multi_GNU_Linux_community, GNU_Linux_community, Типичный_сисадмин	7	8
vk.com/id260777716	Linux_Club	5	1
vk.com/id105952470	Типичный_сисадмин	4	1
vk.com/id154791699	Linux_Club	5	1
vk.com/id395842792	Linux_Club	4	1
vk.com/id66596211	Типичный_сисадмин	13	1
vk.com/id93846827	Разработка_Emeraldix, Типичный_сисадмин	6	2
vk.com/id92793363	Типичный_сисадмин	4	1
vk.com/id71812859	Ubuntu_официальное_сообщество	24	1
vk.com/id3290796	Типичный_сисадмин	10	1
vk.com/id213209401	Системный_администратор	6	1
vk.com/id327680523	Linux_Club	9	1
vk.com/id545145405	Типичный_сисадмин	4	1
vk.com/id252423718	Linux_Club, Типичный_сисадмин	8	2
vk.com/id167019324	Типичный_сисадмин	5	1
vk.com/id4789356	Системный_администратор	17	1
vk.com/id6302906	Типичный_сисадмин	5	1
vk.com/id208241215	Системное_программирование_в_ИТМО, Assembler_x86, Assembler_программирование, Журнал_СисАдмин, Системный_администратор, Школа_сисадмина, Сторонники_дистрибутива_Fedora_Linux, Ядро_Linux, Vim, KomYounity, Losst_Все_о_Linux, Ubuntu_1, Linuxоиды_и_Unix_подобные, Astra_Linux, Alt_Linux, Linux_All, Я_люблю_Linux_and_Open_Source	15	17
vk.com/id129118574	Linux_Club, Arch_Linux_1, Установка_Linux_Mint_Ubuntu_Debian	4	3
vk.com/id181192839	Linuxоиды_и_Unix_подобные	25	1
vk.com/id119232051	Debian_GNU_Linux, Типичный_сисадмин	6	2
vk.com/id19038263	Ubuntu_официальное_сообщество, Russian_Fedora, Fedora_Project	7	3
vk.com/id178066353	Linux_Club	5	1
vk.com/id121654120	Типичный_сисадмин	5	1
vk.com/id3267360	Системный_администратор	5	1
vk.com/id135919897	Системный_администратор	15	1
vk.com/id68268836	Типичный_сисадмин	9	1
vk.com/id38390634	Debian_GNU_Linux	4	1
vk.com/id40687676	Я_люблю_Linux_and_Open_Source	4	1
vk.com/id220662947	Linux_Club	11	1
vk.com/id17176689	Журнал_СисАдмин, Школа_сисадмина	7	2
vk.com/id24188432	Типичный_сисадмин	5	1
vk.com/id53649888	Debian_GNU_Linux	6	1
vk.com/id117078557	Linux_Club	8	1
vk.com/id292451311	Linux_Club, Arch_Linux_1, Типичный_сисадмин	10	3
vk.com/id15919977	Типичный_сисадмин	7	1
vk.com/id38829548	Типичный_сисадмин	8	1
vk.com/id39703415	Debian_GNU_Linux, PortWINE_Linux_ru	6	2
vk.com/id12431049	Ubuntu_официальное_сообщество, KDE, KomYounity	10	3
vk.com/id324214578	Linux_Club	9	1
vk.com/id1850979	Типичный_сисадмин	17	1
vk.com/id50679477	Типичный_сисадмин	11	1
vk.com/id163175257	Системный_администратор, Типичный_сисадмин	4	2
vk.com/id154317279	Типичный_сисадмин	7	1
vk.com/id279168020	KomYounity	8	1
vk.com/id17260517	Arch_Linux_2	7	1
vk.com/id10332217	Системное_программирование_в_ИТМО, Assembler_программирование	7	2
vk.com/id107286781	Системный_администратор	8	1
vk.com/id216172439	Типичный_сисадмин	10	1
vk.com/id139094199	Linux_Club, GNU_Linux, Assembler_x86, C_programming_in_UNIX_Linux, Журнал_СисАдмин, Системный_администратор, Gnome, KomYounity, Losst_Все_о_Linux, Linux_помощь, Arch_Linux_1, Multi_GNU_Linux_community, GNU_Linux_community, Astra_Linux, Alt_Linux, Типичный_сисадмин	4	16
vk.com/id3964896	Системный_администратор, Типичный_сисадмин	8	2
vk.com/id242144442	Типичный_сисадмин	12	1
vk.com/id99976186	Linux_Club, Системный_администратор, Типичный_сисадмин	22	3
vk.com/id378786709	KomYounity	14	1
vk.com/id551594513	Linux_Club	4	1
vk.com/id23346766	Типичный_сисадмин	4	1
vk.com/id24358337	Типичный_сисадмин	9	1
vk.com/id191031747	Arch_Linux_2	8	1
vk.com/id120857456	Типичный_сисадмин	4	1
vk.com/id234923591	Типичный_сисадмин	9	1
vk.com/id432062971	Системный_администратор	6	1
vk.com/id1014789	Типичный_сисадмин	8	1
vk.com/id225290160	Open_Source_and_Freeware	23	1
vk.com/id3645668	Типичный_сисадмин	5	1
vk.com/id16161151	Типичный_сисадмин	4	1
vk.com/id394169781	Linux_Club	19	1
vk.com/id136703550	Linux_Club	5	1
vk.com/id372406084	Типичный_сисадмин	4	1
vk.com/id225059213	Типичный_сисадмин	4	1
vk.com/id165764493	Linux_Club	4	1
vk.com/id27438412	QNX, Типичный_сисадмин	24	2
vk.com/id255363680	Типичный_сисадмин	5	1
vk.com/id309681038	Типичный_сисадмин	11	1
vk.com/id14437943	Типичный_сисадмин	6	1
vk.com/id13953687	Типичный_сисадмин	25	1
vk.com/id6687824	Типичный_сисадмин	7	1
vk.com/id257969680	Linux_Club, Типичный_сисадмин	4	2
vk.com/id147245785	Типичный_сисадмин	4	1
vk.com/id5769552	KDE, Gentoo, Типичный_сисадмин	6	3
vk.com/id150460128	Типичный_сисадмин	6	1
vk.com/id8850247	KomYounity	25	1
vk.com/id882062	Типичный_сисадмин	5	1
vk.com/id108908394	Типичный_сисадмин	4	1
vk.com/id22686241	Типичный_сисадмин	5	1
vk.com/id390499615	Системный_администратор, Типичный_сисадмин	13	2
vk.com/id178642281	Linux_Club	4	1
vk.com/id363571582	Linux_Club	4	1
vk.com/id21610096	Ubuntu_официальное_сообщество, Arch_Linux_1, Alt_Linux, Установка_Linux_Mint_Ubuntu_Debian, Типичный_сисадмин	16	5
vk.com/id323051391	Linux_Club	4	1
vk.com/id40540340	Debian_GNU_Linux	16	1
vk.com/id222344150	Системный_администратор, Debian_GNU_Linux, Типичный_сисадмин	8	3
vk.com/id94066155	Системное_программирование_в_ИТМО	6	1
vk.com/id200023429	Типичный_сисадмин	4	1
vk.com/id308639813	Системный_администратор, Типичный_сисадмин	14	2
vk.com/id175947927	Linux_Club, Системный_администратор	8	2
vk.com/id185693725	Ваш_сисадмин	5	1
vk.com/id84209952	Assembler_программирование	5	1
