url	gids	local_count	elx_count
vk.com/id50878707	Haskell_Learning_Group	7	1
vk.com/id2541083	Lisp_Scheme_Racket, Scheme	33	2
vk.com/id173800934	λ.meetup_4	12	1
vk.com/id24291821	λ.meetup_2	7	1
vk.com/id23366033	λ.meetup_1	14	1
vk.com/id101639231	λ.meetup_3	9	1
vk.com/id132171	Elixir_Erlang_FP	7	1
vk.com/id3138930	λ.meetup_1	77	1
vk.com/id37097581	Изучаем_Erlang	8	1
vk.com/id208241215	Haskell, Lisp_Scheme_Racket, Scheme, Erlang, Изучаем_Erlang	15	5
vk.com/id39340730	Scala_2	18	1
vk.com/id56012953	Elixir_Erlang_FP	5	1
vk.com/id5399252	Elixir_Erlang_FP, Scala_1	13	2
vk.com/id17176689	Haskell	7	1
vk.com/id71079139	Lisp_Scheme_Racket, Erlang	4	2
vk.com/id17260517	λ.meetup_1	7	1
vk.com/id10332217	Функциональное_программирование_на_F#	7	1
vk.com/id139094199	Scala_1	4	1
vk.com/id19759993	λ.meetup_1	18	1
vk.com/id454032511	Haskell	5	1
vk.com/id17808715	λ.meetup_4	7	1
vk.com/id225290160	λ.meetup_2	24	1
vk.com/id4213721	Scala_1	13	1
vk.com/id9463069	Таганрогская_лямбда	29	1
vk.com/id34041162	λ.meetup_1	9	1
vk.com/id8850247	λ.meetup_1, OCaml, Scheme	26	3
vk.com/id214381065	λ.meetup_1	20	1
vk.com/id94066155	Haskell, Lisp_Scheme_Racket, Scheme	8	3
vk.com/id161430220	Lisp_Scheme_Racket	4	1
vk.com/id52448775	λ.meetup_1, FProgSpb	17	2
vk.com/id3874394	Erlang	84	1
vk.com/id14039969	Таганрогская_лямбда	16	1
vk.com/id1274906	Lisp_Scheme_Racket, Scheme	7	2
vk.com/id117101151	Elixir_Erlang_FP	4	1
vk.com/id15246292	λ.meetup_1	20	1
vk.com/id28420405	FPConf_ru	8	1
vk.com/id51930093	Clojure_язык_программирования	11	1
vk.com/id90424797	Lisp_Scheme_Racket	10	1
vk.com/id919848	ScalaDevClub	7	1
vk.com/id104975982	λ.meetup_4	14	1
vk.com/id353298597	λ.meetup_3, λ.meetup_2, λ.meetup_4	8	3
vk.com/id85102398	FPrg, Функциональное_программирование_на_F#	15	2
vk.com/id256611307	Haskell, OCaml, Scala_1, Scala_2, Erlang	17	5
vk.com/id325683222	λ.meetup_1	126	1
vk.com/id7933035	Haskell	4	1
vk.com/id6763843	Таганрогская_лямбда	12	1
vk.com/id10535248	Clojure_Development_Club	67	1
vk.com/id78986025	λ.meetup_3, λ.meetup_2	11	2
vk.com/id12244950	Таганрогская_лямбда	10	1
vk.com/id505181113	Таганрогская_лямбда	17	1
vk.com/id2128719	λ.meetup_2	11	1
vk.com/id156538278	Elm	11	1
vk.com/id11796931	Scala_1	4	1
vk.com/id6754916	Scala_1	4	1
vk.com/id90412841	Таганрогская_лямбда	7	1
vk.com/id105187696	LambdaNSK, Lisp_Scheme_Racket	5	2
vk.com/id183432314	Функциональное_программирование_на_F#	21	1
vk.com/id314176452	LambdaNSK	10	1
vk.com/id14487524	λ.meetup_3	12	1
vk.com/id101029282	λ.meetup_1, Scala_1	8	2
vk.com/id3740386	Таганрогская_лямбда	4	1
vk.com/id516772979	λ.meetup_3, λ.meetup_2, λ.meetup_4, λ.meetup_1	4	4
vk.com/id166630390	Функциональное_программирование_на_F#	4	1
vk.com/id147506359	λ.meetup_1	8	1
vk.com/id21829876	Lisp_Scheme_Racket	8	1
vk.com/id558644947	λ.meetup_2	50	1
vk.com/id6442888	Scala_1	13	1
vk.com/id103306081	Erlang	5	1
vk.com/id481778351	Scala_1	48	1
vk.com/id412690933	λ.meetup_1	6	1
vk.com/id10970839	FPConf_ru	16	1
vk.com/id379367598	λ.meetup_1	29	1
vk.com/id88174639	λ.meetup_3	14	1
vk.com/id81101651	λ.meetup_2	7	1
vk.com/id912328	Таганрогская_лямбда	9	1
vk.com/id15313310	Lisp_Scheme_Racket	7	1
vk.com/id35955220	LambdaNSK	9	1
vk.com/id16717455	λ.meetup_1	5	1
vk.com/id62139646	λ.meetup_1	12	1
vk.com/id152674381	Таганрогская_лямбда	29	1
vk.com/id180994396	λ.meetup_4	20	1
vk.com/id3230354	λ.meetup_4, ANSI_Common_Lisp, Clojure_Development_Club, Lisp_Scheme_Racket, Clojure_язык_программирования, Таганрогская_лямбда	15	6
